DEL	INS	MNV	SNV	barcode	med_tdepth	med_ndepth	med_VAF	purity_medVAF	cancer	sample15	cna_barcode	cna_nb_seg	cna_cancer	purity_cn_loss	nb_arm_loss	nb_arm_gain	nb_arm_CNA	min_arm_log2R	max_arm_log2R	purity_cna_vaf	purity_ascat	ploidy_ascat	purity_infinium	purity_absolute_infinium	purity_absolute_SKCM	ploidy_absolute_SKCM	doublings_absolute_SKCM	purity_methyl_SKCM	cg05630725_SOX5_beta	cg14112754_GP5_beta
4	0	0	0	TCGA-ZM-AA0F-01A-21D-A435-10	150.5	115.5	0.105467974864954	0.210935949729908	TGCT	TCGA-ZM-AA0F-01	TCGA-ZM-AA0F-01A-21D-A434-01	66	TGCT	0.136131601147534	5	3	8	-0.1017	-0.1017	0.210935949729908	NA	NA	0.41	NA	NA	NA	NA	NA	NA	NA
6	2	0	13	TCGA-ZM-AA0E-01A-12D-A435-10	55	72	0.127659574468085	0.25531914893617	TGCT	TCGA-ZM-AA0E-01	TCGA-ZM-AA0E-01A-12D-A434-01	133	TGCT	0.479337492517473	8	9	17	-0.3953	-0.3953	0.367328320726822	NA	NA	0.51	NA	NA	NA	NA	NA	NA	NA
2	0	0	3	TCGA-ZM-AA0D-01A-11D-A435-10	73	96	0.129186602870813	0.258373205741627	TGCT	TCGA-ZM-AA0D-01	TCGA-ZM-AA0D-01A-11D-A434-01	179	TGCT	0.30251361866747	14	4	18	-0.2366	-0.2366	0.280443412204548	NA	NA	0.44	NA	NA	NA	NA	NA	NA	NA
4	1	0	26	TCGA-ZM-AA0B-01A-11D-A435-10	66	69	0.197530864197531	0.395061728395062	TGCT	TCGA-ZM-AA0B-01	TCGA-ZM-AA0B-01A-11D-A434-01	390	TGCT	0.687060899199735	10	8	18	-0.6072	-0.6072	0.541061313797398	NA	NA	0.58	NA	NA	NA	NA	NA	NA	NA
5	3	1	33	TCGA-ZM-AA06-01A-12D-A435-10	83.5	75	0.242424242424242	0.484848484848485	TGCT	TCGA-ZM-AA06-01	TCGA-ZM-AA06-01A-12D-A434-01	330	TGCT	0.417067211264877	19	3	22	-0.3374	-0.3374	0.450957848056681	NA	NA	0.62	NA	NA	NA	NA	NA	NA	NA
2	3	0	24	TCGA-ZM-AA05-01A-12D-A435-10	102	76	0.145631067961165	0.29126213592233	TGCT	TCGA-ZM-AA05-01	TCGA-ZM-AA05-01A-12D-A434-01	576	TGCT	0.281082862042175	5	16	21	-0.2185	-0.2185	0.286172498982252	NA	NA	0.49	NA	NA	NA	NA	NA	NA	NA
6	3	0	47	TCGA-ZL-A9V6-01A-11D-A428-09	38	46.5	0.320381231671554	0.640762463343108	THYM	TCGA-ZL-A9V6-01	TCGA-ZL-A9V6-01A-11D-A427-01	57	THYM	0.00581396934393252	0	0	0	-0.0042	-0.0042	0.640762463343108	NA	NA	0.89	NA	NA	NA	NA	NA	NA	NA
26	3	1	299	TCGA-ZJ-AB0I-01A-11D-A42O-09	35	36	0.4	0.8	CESC	TCGA-ZJ-AB0I-01	TCGA-ZJ-AB0I-01A-11D-A42N-01	421	CESC	0.917175076288068	5	7	12	-0.8852	-0.8852	0.858587538144034	NA	NA	0.82	NA	NA	NA	NA	NA	NA	NA
7	7	0	243	TCGA-ZJ-AB0H-01A-11D-A42O-09	72	55	0.175438596491228	0.350877192982456	CESC	TCGA-ZJ-AB0H-01	TCGA-ZJ-AB0H-01A-11D-A42N-01	329	CESC	0.373467104704016	6	14	20	-0.2982	-0.2982	0.362172148843236	NA	NA	0.58	NA	NA	NA	NA	NA	NA	NA
12	6	1	958	TCGA-ZJ-AAXU-01A-11D-A42O-09	35	74	0.263157894736842	0.526315789473684	CESC	TCGA-ZJ-AAXU-01	TCGA-ZJ-AAXU-01A-11D-A42N-01	319	CESC	0.577331041043614	3	8	11	-0.4914	-0.4914	0.551823415258649	NA	NA	0.58	NA	NA	NA	NA	NA	NA	NA
12	3	3	463	TCGA-ZJ-AAXT-01A-11D-A42O-09	50	38	0.314285714285714	0.628571428571429	CESC	TCGA-ZJ-AAXT-01	TCGA-ZJ-AAXT-01A-11D-A42N-01	320	CESC	0.572589786995476	5	3	8	-0.4866	-0.4866	0.600580607783452	NA	NA	0.58	NA	NA	NA	NA	NA	NA	NA
7	6	1	149	TCGA-ZJ-AAXN-01A-11D-A42O-09	51	31	0.368421052631579	0.736842105263158	CESC	TCGA-ZJ-AAXN-01	TCGA-ZJ-AAXN-01A-11D-A42N-01	253	CESC	0.541788484154642	8	2	10	-0.4558	-0.4558	0.6393152947089	NA	NA	0.69	NA	NA	NA	NA	NA	NA	NA
12	8	0	287	TCGA-ZJ-AAXJ-01A-11D-A42O-09	48	49	0.357142857142857	0.714285714285714	CESC	TCGA-ZJ-AAXJ-01	TCGA-ZJ-AAXJ-01A-11D-A42N-01	404	CESC	0.758916657548739	7	5	12	-0.6884	-0.6884	0.736601185917227	NA	NA	0.64	NA	NA	NA	NA	NA	NA	NA
6	8	0	144	TCGA-ZJ-AAXI-01A-11D-A42O-09	36.5	38	0.334808259587021	0.669616519174041	CESC	TCGA-ZJ-AAXI-01	TCGA-ZJ-AAXI-01A-11D-A42N-01	132	CESC	0.824723671580229	4	4	8	-0.767	-0.767	0.747170095377135	NA	NA	0.77	NA	NA	NA	NA	NA	NA	NA
6	5	1	98	TCGA-ZJ-AAXF-01A-31D-A42O-09	70	52	0.187698042870457	0.375396085740913	CESC	TCGA-ZJ-AAXF-01	TCGA-ZJ-AAXF-01A-31D-A42N-01	155	CESC	0.225515466313324	4	2	6	-0.1726	-0.1726	0.300455776027118	NA	NA	0.45	NA	NA	NA	NA	NA	NA	NA
8	0	1	207	TCGA-ZJ-AAXD-01A-21D-A42O-09	30	39	0.34384236453202	0.687684729064039	CESC	TCGA-ZJ-AAXD-01	TCGA-ZJ-AAXD-01A-21D-A42N-01	179	CESC	0.4633378600845	7	18	25	-0.3802	-0.3802	0.57551129457427	NA	NA	0.64	NA	NA	NA	NA	NA	NA	NA
20	15	1	386	TCGA-ZJ-AAXB-01A-11D-A42O-09	57	40.5	0.295496323529412	0.590992647058824	CESC	TCGA-ZJ-AAXB-01	TCGA-ZJ-AAXB-01A-11D-A42N-01	504	CESC	0.593216811032905	18	10	28	-0.5076	-0.5076	0.592104729045864	NA	NA	0.73	NA	NA	NA	NA	NA	NA	NA
10	3	0	213	TCGA-ZJ-AAXA-01A-11D-A42O-09	32	46.5	0.340992647058824	0.681985294117647	CESC	TCGA-ZJ-AAXA-01	TCGA-ZJ-AAXA-01A-11D-A42N-01	578	CESC	0.904643874099756	6	17	23	-0.8686	-0.8686	0.793314584108701	NA	NA	0.78	NA	NA	NA	NA	NA	NA	NA
17	7	0	147	TCGA-ZJ-AAX8-01A-11D-A42O-09	49	59	0.201754385964912	0.403508771929825	CESC	TCGA-ZJ-AAX8-01	TCGA-ZJ-AAX8-01A-11D-A42N-01	137	CESC	0.401299156633861	1	3	4	-0.3231	-0.3231	0.402403964281843	NA	NA	0.44	NA	NA	NA	NA	NA	NA	NA
7	2	0	143	TCGA-ZJ-AAX4-01A-11D-A42O-09	37	58.5	0.36038961038961	0.720779220779221	CESC	TCGA-ZJ-AAX4-01	TCGA-ZJ-AAX4-01A-11D-A42N-01	230	CESC	0.762696006446681	15	5	20	-0.6928	-0.6928	0.741737613612951	NA	NA	0.73	NA	NA	NA	NA	NA	NA	NA
9	8	2	402	TCGA-ZJ-A8QR-01A-11D-A37N-09	47	38	0.375	0.75	CESC	TCGA-ZJ-A8QR-01	TCGA-ZJ-A8QR-01A-11D-A37M-01	510	CESC	0.779561159135887	9	0	9	-0.7126	-0.7126	0.764780579567943	NA	NA	0.72	NA	NA	NA	NA	NA	NA	NA
15	7	2	487	TCGA-ZJ-A8QQ-01A-11D-A37N-09	41	41	0.368421052631579	0.736842105263158	CESC	TCGA-ZJ-A8QQ-01	TCGA-ZJ-A8QQ-01A-11D-A37M-01	455	CESC	0.738010418530565	6	1	7	-0.6643	-0.6643	0.737426261896861	NA	NA	0.64	NA	NA	NA	NA	NA	NA	NA
11	5	1	158	TCGA-ZJ-A8QO-01A-11D-A37N-09	32	48	0.333333333333333	0.666666666666667	CESC	TCGA-ZJ-A8QO-01	TCGA-ZJ-A8QO-01A-11D-A37M-01	1145	CESC	0.658171771120122	7	12	19	-0.5758	-0.5758	0.662419218893395	NA	NA	0.63	NA	NA	NA	NA	NA	NA	NA
5	1	0	68	TCGA-ZH-A8Y8-01A-51D-A417-09	39	51.5	0.24199843871975	0.4839968774395	CHOL	TCGA-ZH-A8Y8-01	TCGA-ZH-A8Y8-01A-51D-A416-01	227	CHOL	0.468335839715569	12	4	16	-0.3849	-0.3849	0.476166358577535	NA	NA	0.58	NA	NA	NA	NA	NA	NA	NA
9	2	0	134	TCGA-ZH-A8Y6-01A-11D-A417-09	36	32	0.428571428571429	0.857142857142857	CHOL	TCGA-ZH-A8Y6-01	TCGA-ZH-A8Y6-01A-11D-A416-01	72	CHOL	0.00774820089167072	0	0	0	-0.0056	-0.0056	0.857142857142857	NA	NA	0.09	NA	NA	NA	NA	NA	NA	NA
6	3	0	62	TCGA-ZH-A8Y5-01A-11D-A417-09	32	32	0.461538461538462	0.923076923076923	CHOL	TCGA-ZH-A8Y5-01	TCGA-ZH-A8Y5-01A-11D-A416-01	213	CHOL	0.922416250138982	6	8	14	-0.8922	-0.8922	0.922746586607952	NA	NA	0.84	NA	NA	NA	NA	NA	NA	NA
15	7	0	131	TCGA-ZH-A8Y4-01A-11D-A417-09	43	48	0.357894736842105	0.715789473684211	CHOL	TCGA-ZH-A8Y4-01	TCGA-ZH-A8Y4-01A-11D-A416-01	262	CHOL	0.727734295198536	18	8	26	-0.6526	-0.6526	0.721761884441373	NA	NA	0.75	NA	NA	NA	NA	NA	NA	NA
12	11	0	116	TCGA-ZH-A8Y2-01A-11D-A417-09	38	38	0.384615384615385	0.769230769230769	CHOL	TCGA-ZH-A8Y2-01	TCGA-ZH-A8Y2-01A-11D-A416-01	392	CHOL	0.639251920413326	14	18	32	-0.5556	-0.5556	0.704241344822047	NA	NA	0.77	NA	NA	NA	NA	NA	NA	NA
5	5	0	124	TCGA-ZH-A8Y1-01A-11D-A417-09	36	62	0.377913279132791	0.755826558265583	CHOL	TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y1-01A-11D-A416-01	239	CHOL	0.773029978612539	4	4	8	-0.7049	-0.7049	0.764428268439061	NA	NA	0.76	NA	NA	NA	NA	NA	NA	NA
15	4	1	107	TCGA-ZG-A9NI-01A-11D-A41K-08	46	69	0.279569892473118	0.559139784946237	PRAD	TCGA-ZG-A9NI-01	TCGA-ZG-A9NI-01A-11D-A41J-01	125	PRAD	0.617576162117484	3	13	16	-0.5328	-0.5328	0.58835797353186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	1	0	45	TCGA-ZG-A9ND-01A-11D-A41K-08	44	40	0.372549019607843	0.745098039215686	PRAD	TCGA-ZG-A9ND-01	TCGA-ZG-A9ND-01A-11D-A41J-01	468	PRAD	0.853528890644214	4	1	5	-0.8028	-0.8028	0.79931346492995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	4	0	68	TCGA-ZG-A9N3-01A-11D-A41K-08	54	60	0.231884057971014	0.463768115942029	PRAD	TCGA-ZG-A9N3-01	TCGA-ZG-A9N3-01A-11D-A41J-01	278	PRAD	0.816795044384252	16	10	26	-0.7573	-0.7573	0.640281580163141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	3	0	10	TCGA-ZG-A9MC-01A-31D-A41K-08	58.5	52.5	0.166071428571429	0.332142857142857	PRAD	TCGA-ZG-A9MC-01	TCGA-ZG-A9MC-01A-31D-A41J-01	140	PRAD	0.238505463667417	4	0	4	-0.1832	-0.1832	0.285324160405137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	4	0	42	TCGA-ZG-A9M4-01A-11D-A41K-08	50	58.5	0.296591533809786	0.593183067619571	PRAD	TCGA-ZG-A9M4-01	TCGA-ZG-A9M4-01A-11D-A41J-01	286	PRAD	1.06735496529672	17	4	21	-1.1006	-1.1006	0.796591533809786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	0	1	39	TCGA-ZG-A9LZ-01A-11D-A41K-08	36.5	46.5	0.403404067197171	0.806808134394341	PRAD	TCGA-ZG-A9LZ-01	TCGA-ZG-A9LZ-01A-11D-A41J-01	264	PRAD	0.775154314511546	11	6	17	-0.7074	-0.7074	0.790981224452944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	3	1	39	TCGA-ZG-A9LY-01A-11D-A41K-08	51	75	0.191489361702128	0.382978723404255	PRAD	TCGA-ZG-A9LY-01	TCGA-ZG-A9LY-01A-11D-A41J-01	169	PRAD	0.417506032588325	3	4	7	-0.3378	-0.3378	0.40024237799629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	3	0	10	TCGA-ZG-A9LU-01A-11D-A41K-08	64	74.5	0.133399209486166	0.266798418972332	PRAD	TCGA-ZG-A9LU-01	TCGA-ZG-A9LU-01A-11D-A41J-01	238	PRAD	0.24143336756163	5	2	7	-0.1856	-0.1856	0.254115893266981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	0	0	31	TCGA-ZG-A9LS-01A-12D-A41K-08	56.5	78.5	0.211273728445153	0.422547456890306	PRAD	TCGA-ZG-A9LS-01	TCGA-ZG-A9LS-01A-12D-A41J-01	137	PRAD	0.441994852428608	7	4	11	-0.3603	-0.3603	0.432271154659457	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	0	0	36	TCGA-ZG-A9LN-01A-11D-A41K-08	67	71	0.173913043478261	0.347826086956522	PRAD	TCGA-ZG-A9LN-01	TCGA-ZG-A9LN-01A-11D-A41J-01	725	PRAD	0.0269876316573219	0	2	2	-0.0196	-0.0196	0.347826086956522	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	2	0	46	TCGA-ZG-A9LM-01A-11D-A41K-08	50	68	0.294736842105263	0.589473684210526	PRAD	TCGA-ZG-A9LM-01	TCGA-ZG-A9LM-01A-11D-A41J-01	183	PRAD	0.63054676573523	16	5	21	-0.5464	-0.5464	0.610010224972878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	3	0	42	TCGA-ZG-A9LB-01A-11D-A41K-08	45	50	0.239130434782609	0.478260869565217	PRAD	TCGA-ZG-A9LB-01	TCGA-ZG-A9LB-01A-11D-A41J-01	194	PRAD	0.548746043763904	9	13	22	-0.4627	-0.4627	0.513503456664561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	1	0	55	TCGA-ZG-A9L9-01A-11D-A41K-08	44	43	0.315789473684211	0.631578947368421	PRAD	TCGA-ZG-A9L9-01	TCGA-ZG-A9L9-01A-11D-A41J-01	388	PRAD	0.766549345713044	12	3	15	-0.6973	-0.6973	0.699064146540733	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	1	0	34	TCGA-ZG-A9L6-01A-11D-A41K-08	52	65	0.159663865546218	0.319327731092437	PRAD	TCGA-ZG-A9L6-01	TCGA-ZG-A9L6-01A-11D-A41J-01	162	PRAD	0.30310182068357	1	1	2	-0.2371	-0.2371	0.311214775888003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	3	0	67	TCGA-ZG-A9L5-01A-12D-A41K-08	44	53.5	0.326666666666667	0.653333333333333	PRAD	TCGA-ZG-A9L5-01	TCGA-ZG-A9L5-01A-12D-A41J-01	173	PRAD	0.461099451993671	11	7	18	-0.3781	-0.3781	0.557216392663502	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	0	13	TCGA-ZG-A9L4-01A-11D-A41K-08	42.5	61.5	0.202213707960834	0.404427415921669	PRAD	TCGA-ZG-A9L4-01	TCGA-ZG-A9L4-01A-11D-A41J-01	67	PRAD	0.348359157115685	4	0	4	-0.2761	-0.2761	0.376393286518677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	6	1	31	TCGA-ZG-A9L2-01A-31D-A41K-08	42.5	55.5	0.222222222222222	0.444444444444444	PRAD	TCGA-ZG-A9L2-01	TCGA-ZG-A9L2-01A-31D-A41J-01	141	PRAD	0.417615718910019	3	0	3	-0.3379	-0.3379	0.431030081677232	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	3	0	40	TCGA-ZG-A9L1-01A-11D-A41K-08	46	65	0.333333333333333	0.666666666666667	PRAD	TCGA-ZG-A9L1-01	TCGA-ZG-A9L1-01A-11D-A41J-01	167	PRAD	0.761923895240539	2	12	14	-0.6919	-0.6919	0.714295280953603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	1	0	63	TCGA-ZG-A9L0-01A-11D-A41K-08	42	55	0.366197183098592	0.732394366197183	PRAD	TCGA-ZG-A9L0-01	TCGA-ZG-A9L0-01A-11D-A41J-01	611	PRAD	0.569122664273612	11	13	24	-0.4831	-0.4831	0.650758515235398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	7	0	82	TCGA-ZG-A9KY-01A-11D-A41K-08	51	55	0.3	0.6	PRAD	TCGA-ZG-A9KY-01	TCGA-ZG-A9KY-01A-11D-A41J-01	651	PRAD	0.322863631118138	11	1	12	-0.254	-0.254	0.461431815559069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	3	0	21	TCGA-ZG-A8QZ-01A-11D-A377-08	39.5	59.5	0.195590327169275	0.391180654338549	PRAD	TCGA-ZG-A8QZ-01	TCGA-ZG-A8QZ-01A-11D-A376-01	139	PRAD	0.0205494868704177	0	2	2	-0.0149	-0.0149	0.391180654338549	NA	NA	0.46	NA	NA	NA	NA	NA	NA	NA
13	6	0	91	TCGA-ZG-A8QY-01A-11D-A377-08	57.5	72	0.263157894736842	0.526315789473684	PRAD	TCGA-ZG-A8QY-01	TCGA-ZG-A8QY-01A-11D-A376-01	437	PRAD	0.579794203703853	2	0	2	-0.4939	-0.4939	0.553054996588769	NA	NA	0.57	NA	NA	NA	NA	NA	NA	NA
2	1	0	36	TCGA-ZG-A8QX-01A-11D-A377-08	36	48	0.259259259259259	0.518518518518518	PRAD	TCGA-ZG-A8QX-01	TCGA-ZG-A8QX-01A-11D-A376-01	144	PRAD	0.0271243857137655	0	0	0	-0.0197	-0.0197	0.518518518518518	NA	NA	0.54	NA	NA	NA	NA	NA	NA	NA
2	5	0	28	TCGA-ZG-A8QW-01A-11D-A377-08	62	61	0.185185185185185	0.37037037037037	PRAD	TCGA-ZG-A8QW-01	TCGA-ZG-A8QW-01A-11D-A376-01	178	PRAD	0.347672116143308	2	0	2	-0.2755	-0.2755	0.359021243256839	NA	NA	0.52	NA	NA	NA	NA	NA	NA	NA
